bug_id,service,description,category,severity,found_by_chaosarena,found_by_claude_code,found_by_autoresttest,chaosarena_ref,claude_ref,autorest_ref,chaosarena_occurrences,claude_occurrences,autorest_occurrences,notes,chaosarena_phase
B01,market,Concurrent addItem same product: lost quantity update (qty stays 1 instead of 2),Concurrency,CRITICAL/HIGH,TRUE,FALSE,FALSE,R1,,,2,0,0,Exploratory #1 is a dup of R1,required
B02,market,Concurrent pay+addItem: stale cart not cleared after payment (race-added item persists),Concurrency,CRITICAL/HIGH,TRUE,FALSE,FALSE,R3,,,6,0,0,Exploratory #5/#12/#17/#21/#25 are dups of R3 (5 identical entries),required
B03,market,Concurrent clearCart+pay: Hibernate StaleStateException surfaces as 500,Concurrency,CRITICAL/HIGH,TRUE,FALSE,FALSE,R4,,,2,0,0,Exploratory #7 is a dup of R4,required
B04,market,Concurrent duplicate registration: both requests return 500 NonUniqueResultException,Concurrency,CRITICAL/HIGH,TRUE,FALSE,FALSE,R5,,,2,0,0,Exploratory #6 is a dup of R5,required
B05,market,IDOR: Any authenticated user can read any order by guessing orderId,Auth/IDOR,CRITICAL/HIGH,TRUE,TRUE,FALSE,"R13, Exploratory #4/#11/#16/#20/#24/#29/#33",BUG-2,,8,1,0,,required
B06,market,IDOR on payment: name query-param ignored — server returns 406 for any user's cart,Auth/IDOR,CRITICAL/HIGH,TRUE,TRUE,FALSE,"R12, Exploratory #3/#10/#15/#19/#23",BUG-3,,6,1,0,,required
B07,market,Unauthenticated POST /customer/cart/pay returns 406 instead of 401,Auth,CRITICAL/HIGH,TRUE,TRUE,FALSE,"R14, Exploratory #2/#9/#13/#14/#18/#22/#26",BUG-1,,8,1,0,,required
B08,market,deliveryIncluded=false does not reduce cart totalCost displayed to user,Business Logic,CRITICAL/HIGH,TRUE,FALSE,FALSE,Exploratory #30/#31/#32,,,3,0,0,,exploration
B09,market,Unavailable product (available=false) silently not added to cart — no error returned,Business Logic,CRITICAL/HIGH,TRUE,FALSE,FALSE,Exploratory #27,,,1,0,0,,exploration
B10,market,No upper-bound validation on cart item quantity (accepts 999999),Input Validation,CRITICAL/HIGH,TRUE,FALSE,FALSE,Exploratory #28/#34,,,2,0,0,,exploration
