row_type,service,tool,phase,bug_id,description,category,category_group,severity,severity_band,reported_severity_source,reported_severity_band,reported_severity,found_by_chaosarena,found_by_claude_code,found_by_autoresttest,source_ref,occurrences,notes,raw_reported_bugs,confirmed_unique_bugs,required_unique_bugs,exploration_unique_bugs,concurrency_unique_bugs,critical_high_bugs,cost_usd,bugs_per_dollar,verdict_agent_cost_usd,verdict_drafter_cost_usd,verdict_total_cost_usd,verdict_bugs_per_dollar,verdict_started_at_utc,verdict_finished_at_utc,verdict_duration_seconds,verdict_duration_minutes,duration_seconds,duration_minutes,turns,tool_calls,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_tokens,pricing_version,total_requests_sent,status_200,status_201,status_204,status_400,status_404,status_405,status_406,status_415,status_500,total_operations,successful_operations,successful_operations_pct,unique_server_errors,operations_with_server_errors,source_file
bug,market,ChaosArena,required,B01,Concurrent addItem same product: lost quantity update (qty stays 1 instead of 2),Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R1,2,Exploratory #1 is a dup of R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B02,Concurrent pay+addItem: stale cart not cleared after payment (race-added item persists),Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R3,6,Exploratory #5/#12/#17/#21/#25 are dups of R3 (5 identical entries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B03,Concurrent clearCart+pay: Hibernate StaleStateException surfaces as 500,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R4,2,Exploratory #7 is a dup of R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,required,B04,Concurrent duplicate registration: both requests return 500 NonUniqueResultException,Concurrency,Concurrency,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:R5,2,Exploratory #6 is a dup of R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B05,IDOR: Any authenticated user can read any order by guessing orderId,Auth/IDOR,Auth / IDOR / Security,CRITICAL,critical,impact_reclassified,critical,CRITICAL,TRUE,TRUE,FALSE,"CA:R13, Exploratory #4/#11/#16/#20/#24/#29/#33; CC:BUG-2",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B06,IDOR on payment: name query-param ignored — server returns 406 for any user's cart,Auth/IDOR,Auth / IDOR / Security,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,"CA:R12, Exploratory #3/#10/#15/#19/#23; CC:BUG-3",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena+Claude Code,required,B07,Unauthenticated POST /customer/cart/pay returns 406 instead of 401,Auth,Auth / IDOR / Security,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,TRUE,FALSE,"CA:R14, Exploratory #2/#9/#13/#14/#18/#22/#26; CC:BUG-1",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B08,deliveryIncluded=false does not reduce cart totalCost displayed to user,Business Logic,Business Logic,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #30/#31/#32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B09,Unavailable product (available=false) silently not added to cart — no error returned,Business Logic,Business Logic,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,market,ChaosArena,exploration,B10,No upper-bound validation on cart item quantity (accepts 999999),Input Validation,Input Validation,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #28/#34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
